,Name,Desc,rarity,img name icon,img full,img feature,season,tier,included in,promo,vbucks,price,challenge,style,set,type,status
181,Cliffhanger,Climb your way to the top with the mountaineering inspired Cliffhanger Pickaxe,RARE,cliffhanger,null,null,0,0,null,null,800,0.00,null,null,null,HARVESTINGTOOL,RELEASED
182,Clinical Crosser,Represent your country in style!,RARE,clinical-crosser,clinical-crosser,clinical-crosser,0,0,null,null,1200,0.00,null,null,Goalbound Set,OUTFIT,RELEASED
183,Cloaked Star,Cloaked in mystery.,EPIC,cloaked-star,null,cloaked-star,0,0,null,null,1500,0.00,null,null,null,OUTFIT,RELEASED
184,Clockworks,What time is it,EPIC,clockworks,null,null,0,0,Heidi,null,0,0.00,null,null,Oktoberfest Set,BACKBLING,RELEASED
185,Close Shave,A stylish pickaxe with bolts on tips.,RARE,close-shave,null,null,0,0,null,null,800,0.00,null,null,null,HARVESTINGTOOL,RELEASED
186,Cloud Strike,Forecasting storms all week.,EPIC,cloud-strike,null,null,0,0,null,null,1200,0.00,null,null,null,GLIDER,RELEASED
187,Cloudbreaker,Turbulent by nature.,RARE,cloudbreaker,null,cloudbreaker,0,0,null,null,1200,0.00,null,null,Aviation Age Set,OUTFIT,RELEASED
188,Clown,Express yourself on the battlefield,UNCOMMON,clown,null,null,6,94,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
189,Cluefinder,Follow the clues.,EPIC,cluefinder,null,null,0,0,Noir,null,0,0.00,null,null,Hardboiled Set,BACKBLING,RELEASED
190,Clutch Axe,Pedal to the metal.,RARE,clutch-axe,null,null,0,0,null,null,800,0.00,null,null,Cobra Crew Set,HARVESTINGTOOL,RELEASED
191,Codename E.L.F,Elusive. Lethal. Festive.,RARE,codename-elf,codename-elf,codename-elf,0,0,null,null,1200,0.00,null,null,null,OUTFIT,RELEASED
192,Commando,Uncommon commando outfit.,UNCOMMON,commando,commando,null,0,0,null,null,800,0.00,null,null,null,OUTFIT,RELEASED
193,Confidential Case,Build a case.,EPIC,confidential-case,null,null,0,0,Gumshoe,null,0,0.00,null,null,Hardboiled Set,BACKBLING,RELEASED
194,Confused,Seriously. what happened?,RARE,confused,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
195,Conquest,Row against the tide.,EPIC,conquest,null,null,5,39,null,null,0,0.00,null,null,Norse Set,GLIDER,RELEASED
196,Contagion,Infectiously stylish.,EPIC,contagion,null,null,0,0,Hazard Agent,null,0,0.00,null,null,Outbreak Set,BACKBLING,RELEASED
197,Controller,Take control.,EPIC,controller,null,null,0,0,null,Playstation Plus,0,0.00,null,null,null,HARVESTINGTOOL,RELEASED
198,Coven Cape,Certified coven couture.,EPIC,coven-cape,null,null,0,0,Sanctum,null,0,0.00,null,null,Nite Coven Set,BACKBLING,RELEASED
199,Covered Crusader,Forge a trail through the frontier.,RARE,covered-crusader,null,null,6,39,null,null,0,0.00,null,null,Western Wilds Set,GLIDER,RELEASED
200,Cozy Coaster,Snuggle up to the ﬁreﬁght in holiday style.,RARE,cozy-coaster,null,null,0,0,null,null,800,0.00,null,null,null,GLIDER,RELEASED
201,Crabby,Express yourself on the battlefield.,UNCOMMON,crabby,null,null,4,64,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
202,Crackshot,Get out there and… crack some nuts.,LEGENDARY,crackshot,crackshot,crackshot,0,0,null,null,2000,0.00,null,null,null,OUTFIT,RELEASED
203,Crackshot,Showcase art for crackshot,UNCOMMON,crackshot,crackshot,null,7,30,null,null,0,0.00,null,null,null,LOADINGSCREEN,RELEASED
204,Crafted Carrier,Brilliantly Spoken.,EPIC,crafted-carrier,null,null,0,0,Hacivat,null,0,0.00,null,null,Hacivat Set,BACKBLING,RELEASED
205,Crazy Castle,Leave your mark.,UNCOMMON,crazy-castle,null,null,5,2,null,null,0,0.00,null,null,null,SPRAY,RELEASED
206,Crested Cape,Cloaked and courageous.,LEGENDARY,crested-cape,null,null,0,0,Battle Hound,null,0,0.00,null,null,Laoch Set,BACKBLING,RELEASED
207,Crimson Axe,"Wield, smite, repeast.",RARE,crimson-axe,null,null,0,0,null,null,800,0.00,null,null,Fort Knights Set,HARVESTINGTOOL,RELEASED
208,Crimson Scout,A dashing and deadly scout.,UNCOMMON,crimson-scout,crimson-scout,crimson-scout,0,0,null,null,800,0.00,null,null,null,OUTFIT,RELEASED
209,Criterion,Unwavering,LEGENDARY,criterion,criterion,criterion,0,0,null,null,2000,0.00,null,null,Criterion Set,OUTFIT,RELEASED
210,Crossfire,Glider duel at high noon.,UNCOMMON,crossfire,null,null,6,22,null,null,0,0.00,null,null,Western Wilds Set,GLIDER,RELEASED
211,Crowbar,Pry away.,RARE,crowbar,null,null,0,0,null,null,0,0.00,High Stakes Challenges,null,Getaway Gang Set,HARVESTINGTOOL,RELEASED
212,Cruiser,Put it in neatral.,UNCOMMON,cruiser,null,null,5,7,null,null,0,0.00,null,null,Cobra Crew Set,GLIDER,RELEASED
213,Crypt Cruiser,From beyond the grave!,EPIC,crypt-cruiser,null,null,0,0,null,null,1200,0.00,null,Crypt Cruiser Style,Skull Squad Set,GLIDER,RELEASED
214,Cuddle Bow,Hugs!,LEGENDARY,cuddle-bow,null,null,0,0,Cuddle Team Leader,null,0,0.00,null,null,Royale Hearts Set,BACKBLING,RELEASED
215,Cuddle Team Hula,Leave your mark.,UNCOMMON,cuddle-team-hula,null,null,7,54,null,null,0,0.00,null,null,null,SPRAY,RELEASED
216,Cuddle Team Leader,Hug it out.,LEGENDARY,cuddle-team-leader,cuddle-team-leader,cuddle-team-leader,0,0,null,null,2000,0.00,null,null,null,OUTFIT,RELEASED
217,Cuff Case,Always by your side.,LEGENDARY,cuff-case,null,null,0,0,Wild Card,null,0,0.00,null,null,Getaway Gang Set,BACKBLING,RELEASED
218,Cutting Edge,Forged in particle accelerator,RARE,cutting-edge,null,null,0,0,null,null,800,0.00,null,null,Overclocked Set,HARVESTINGTOOL,RELEASED
219,Cyclone,A whirlwind of fury,EPIC,cyclone,null,null,0,0,null,null,1200,0.00,null,null,RPM Set,GLIDER,RELEASED
220,Dab,A Dab Dance Move,RARE,dab,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
221,Dance Moves,Express yourself on the battlefield.,COMMON,dance-moves,null,null,0,0,null,null,0,0.00,null,null,null,DANCE,RELEASED
222,Dance Party,Express yourself on the battlefield.,UNCOMMON,dance-party,null,null,2,26,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
223,Dance Therapy,Let it all out.,EPIC,dance-therapy,null,null,0,0,null,null,800,0.00,null,null,null,DANCE,RELEASED
224,Dante,Back for more. Reactive: Glows in the dark.,EPIC,dante,null,dante,0,0,null,null,1500,0.00,null,null,Muertos Set,OUTFIT,RELEASED
225,Dark Engine,Fueled by darkness.,EPIC,dark-engine,null,null,0,0,null,null,0,0.00,Fortnitemares Challenges Part 4,null,Western Wilds Set,GLIDER,RELEASED
226,Dark Feathers,Freefall in style.,RARE,dark-feathers,null,null,0,0,Ravage,null,0,0.00,null,null,Nevermore Set,CONTRAIL,RELEASED
227,Dark Llama,Concept art for Dark Bomber's shirt design,UNCOMMON,dark-llama,dark-llama,null,7,78,null,null,0,0.00,null,null,Lightning & Thunderstorms Set,LOADINGSCREEN,RELEASED
228,Dark Matter,Theoretical Fashion,LEGENDARY,dark-matter,null,null,3,71,null,null,0,0.00,null,null,Space Explorers Set,BACKBLING,RELEASED
229,Dark Shard,"Splintered from geometric perfection. Reactive: Transforms by dealing damage, or by outliving other players.",EPIC,dark-shard,null,dark-shard,0,0,null,null,1200,0.00,null,null,Western Wilds Set,HARVESTINGTOOL,RELEASED
230,Dark Vanguard,Exploring the outer limits.,LEGENDARY,darl-vanguard,darl-vanguard,darl-vanguard,0,0,null,null,2000,0.00,null,null,Space Explorers Set,OUTFIT,RELEASED
231,Dark Void,Stellar.,LEGENDARY,dark-void,null,null,0,0,Dark Vanguard,null,0,0.00,null,null,Space Explorers Set,BACKBLING,RELEASED
232,Dark Voyager,From the bast darkness of deep space.,LEGENDARY,dark-voyager,dark-voyager,null,3,70,null,null,0,0.00,null,null,Space Explorers Set,OUTFIT,RELEASED
233,Dark Wings,Swoop in and take the spoils,LEGENDARY,dark-wings,null,null,0,0,Ravage,null,0,0.00,null,null,Nevermore Set,BACKBLING,RELEASED
234,Dazzle,The dominator of Dusty Depot.,RARE,dazzle,dazzle,null,0,0,null,null,1200,0.00,null,null,null,OUTFIT,RELEASED
235,Deadfire,Leave your mark.,UNCOMMON,deadfire,null,null,0,0,null,null,0,0.00,Fortnitemares Challenges Part 2,null,null,SPRAY,RELEASED
236,Deadfire,"This town ain't big enough... Reactive: Transforms by dealing damage, or by outliving other players.",LEGENDARY,deadfire,null,deadfire,0,0,null,null,2000,0.00,null,null,Western Wilds Set,OUTFIT,RELEASED
237,Death Valley,"Whenever you need a skull on a stick, the Death Valley Pickaxe is there for you.",EPIC,death-vally,null,null,0,0,null,null,1500,0.00,null,null,null,HARVESTINGTOOL,RELEASED
238,Deep Fried,Perfectly greasy.,EPIC,deep-fried,null,null,0,0,Beef Boss,null,0,0.00,null,null,Durr Burger Set,BACKBLING,RELEASED
239,Deep Space Lander,Light-years ahead of the competition.,EPIC,deep-space-lander,null,null,0,0,null,null,1200,0.00,null,null,Space Explorers Set,GLIDER,RELEASED
240,Deflector,Change the course of the battle,LEGENDARY,deflector,null,null,0,0,Vertex,null,0,0.00,null,null,Apex Protocol Set,BACKBLING,RELEASED
241,Desperado,Rare desoerado outfit.,RARE,desperado,desperado,null,0,0,null,null,1200,0.00,null,null,null,OUTFIT,RELEASED
242,Destabilizer,Embrace the chaos.,LEGENDARY,destabilizer,null,null,0,0,Oblivion,null,0,0.00,null,null,Oblivion Set,BACKBLING,RELEASED
243,Devastator,Dominate the eye of the storm.,UNCOMMON,devastator,devastator,devastator,0,0,null,null,800,0.00,null,null,Storm Fusion Set,OUTFIT,RELEASED
244,Diecast,The die has been cast.,RARE,diecast,diecast,diecast,0,0,null,null,1200,0.00,null,null,Solid Steel Set,OUTFIT,RELEASED
245,Dip,Take a dip,UNCOMMON,dip,null,null,0,0,null,null,200,0.00,null,null,null,DANCE,RELEASED
246,Dire,Concept art for Dire.,UNCOMMON,dire,dire,null,6,93,null,null,0,0.00,null,null,Full Moon Set,LOADINGSCREEN,RELEASED
247,Dire,Leave your mark.,UNCOMMON,dire,null,null,6,99,null,null,0,0.00,null,null,null,SPRAY,RELEASED
248,Dire,Leader of the pack,LEGENDARY,dire,null,null,6,100,null,null,0,0.00,null,Dire Style,Full Moon Set,OUTFIT,RELEASED
249,Director's Cut,"Lights, Camera, Axin'.",RARE,directors-cut,null,null,0,0,null,null,800,0.00,null,null,null,HARVESTINGTOOL,RELEASED
250,Dirigible,Lighter than air,EPIC,dirigible,null,null,0,0,null,null,1200,0.00,null,null,Aviation Age Set,GLIDER,RELEASED
251,Disco,Press play to get down.,RARE,disco,null,null,7,54,null,null,0,0.00,null,null,null,MUSIC,RELEASED
252,Disco Brawl,Ready for a ballroom blitz.,EPIC,disco-brawl,null,null,0,0,null,null,1500,0.00,null,null,Fortnite Fever Set,HARVESTINGTOOL,RELEASED
253,Disco Fever,Heat up the dance floor.,EPIC,disco-fever,null,null,0,0,null,null,800,0.00,null,null,Fortnite Fever Set,DANCE,RELEASED
254,Discovery,Explore the galaxy.,EPIC,discovery,null,null,0,0,null,Samsung Galaxy Bundle,0,0.00,null,null,null,GLIDER,RELEASED
255,Dismal Cape,Black as night.,EPIC,dismal-cape,null,null,0,0,Plague,null,0,0.00,null,null,Grim Medicine Set,BACKBLING,RELEASED
256,Divine Dragon,Sail through the clouds and row toward victory.,EPIC,divine-dragon,null,divine-dragon,0,0,null,null,1200,0.00,null,null,null,GLIDER,RELEASED
257,Diving Tank,Breathe easy.,EPIC,diving-tank,null,null,0,0,Wreck Raier,null,0,0.00,null,null,Divemasters Set,BACKBLING,RELEASED
258,DJ Yonder,Packing a playlist for the perfect party.,EPIC,dj-yonder,null,null,6,1,null,null,0,0.00,null,null,Twin Turntables Set,OUTFIT,RELEASED
259,DJ Yonder,Concept art for DJ Yonder,UNCOMMON,dj-yonder,dj-yonder,null,6,25,null,null,0,0.00,null,null,Twin Turntables Set,LOADINGSCREEN,RELEASED
260,DJ Yonder,Leave your mark.,UNCOMMON,dj-yonder,null,null,6,40,null,null,0,0.00,null,null,null,SPRAY,RELEASED
261,Do It!,Leave your mark.,UNCOMMON,do-it,null,null,4,56,null,null,0,0.00,null,null,null,SPRAY,RELEASED
262,Dominator,One step ahead of the pack.,UNCOMMON,dominator,dominator,dominator,0,0,null,null,800,0.00,null,null,Storm Fusion Set,OUTFIT,RELEASED
263,Double Helix,Spiral toward victory.,EPIC,double-helix,null,null,0,0,null,Nintendo Switch Bundle,0,0.00,null,null,Double Helix Set,OUTFIT,RELEASED
264,Downshift,Glide into gear.,UNCOMMON,downshift,null,null,5,22,null,null,0,0.00,null,null,RPM Set,GLIDER,RELEASED
265,Dragon Axe,Forged in Dragon Fire.,RARE,dragon-axe,null,null,0,0,null,null,800,0.00,null,null,null,HARVESTINGTOOL,RELEASED
266,Dreamflower,Can you dig it?,EPIC,dreamflower,null,dreamflower,0,0,null,null,1500,0.00,null,null,Flower Power,OUTFIT,RELEASED
267,Drift,"Journey into the unknown, and find you way to victory.",LEGENDARY,drift,null,null,5,1,null,null,0,0.00,null,Drift Style,Drift Set,OUTFIT,RELEASED
268,Drift,Concept art,UNCOMMON,drift,drift,null,5,4,null,null,0,0.00,null,null,Drift Set,LOADINGSCREEN,RELEASED
269,Drift,Leave your mark.,UNCOMMON,drift,null,null,5,54,null,null,0,0.00,null,null,null,SPRAY,RELEASED
270,Drop The Bass,Wait for it,EPIC,drop-the-bass,null,null,0,0,null,null,800,0.00,null,null,null,DANCE,RELEASED
271,Durrr,Leave your mark.,UNCOMMON,durrr,null,null,5,40,null,null,0,0.00,null,null,null,SPRAY,RELEASED
272,Durrr Burger,Show your style.,RARE,durrr-burger,null,null,7,43,null,null,0,0.00,null,null,Durrr Burger Set,WRAP,RELEASED
273,Durrr Burger,Express yourself on the battlefiedl,UNCOMMON,durrr-burger,null,null,7,86,null,null,0,0.00,null,null,Durrr Burger Set,EMOTICON,RELEASED
274,Dusk,Creatures of the nite pack a dangerous bite.,EPIC,dusk,null,null,6,71,null,null,0,0.00,null,null,Nite Coven Set,OUTFIT,RELEASED
275,Dusk,Concept art for Dusk,UNCOMMON,dusk,dusk,null,6,78,null,null,0,0.00,null,null,Nite Coven Set,LOADINGSCREEN,RELEASED
276,Dusk Wings,Sharper than fangs,EPIC,dusk-wings,null,null,6,55,null,null,0,0.00,null,null,Nite Coven Set,BACKBLING,RELEASED
277,Dusty Depot,The original.,UNCOMMON,dusty-depot,dusty-depot,null,7,98,null,null,0,0.00,null,null,null,LOADINGSCREEN,RELEASED
278,Dynamic Dribbler,Represent your country in style!,RARE,dynamic-dribbler,dynamic-dribbler,dynamic-dribbler,0,0,null,null,1200,0.00,null,null,Goalbound Set,OUTFIT,RELEASED
279,Dynamite,Express yourself on the battlefield.,UNCOMMON,dynamite,null,null,4,5,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
280,Dynamo,Rule the ring.,RARE,dynamo,dynamo,dynamo,0,0,null,null,1200,0.00,null,null,Lucha Set,OUTFIT,RELEASED
281,E.L.I.M.,Increment elimination count.,LEGENDARY,elim,null,null,0,0,A.I.M.,null,0,0.00,null,null,A.I.M. Set,BACKBLING,RELEASED
282,Eagle,Believe you can fly.,RARE,eagle,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
283,EEE,Leave your mark.,UNCOMMON,eee,null,null,0,0,null,E3 Pro-Am Swag Bag,0,0.00,null,null,null,SPRAY,RELEASED
284,EERIE,Press play to get spooky.,RARE,eerie,null,null,6,53,null,null,0,0.00,null,null,null,MUSIC,RELEASED
285,Eggshell,Well hidden.,EPIC,eggshell,null,null,0,0,Bunny Brawler,null,0,0.00,null,null,Pastel Patrol Set,BACKBLING,RELEASED
286,Electro Shuffle,An Electro Dance.,EPIC,electro-shuffle,null,null,0,0,null,null,800,0.00,null,null,null,DANCE,RELEASED
287,Elite Agent,Failure is not an option.,EPIC,elite-agent,elite-agent,null,3,87,null,null,0,0.00,null,null,Black Vector Set,OUTFIT,RELEASED
288,Elite Agent,Concept art,UNCOMMON,elite-agent,elite-agent,null,3,92,null,null,0,0.00,null,null,Black Vector Set,LOADINGSCREEN,RELEASED
289,Elite Cleat,For those unaccustomed to defeat.,UNCOMMON,elite-cleat,null,null,0,0,null,null,500,0.00,null,null,Goalbound Set,HARVESTINGTOOL,RELEASED
290,Elmira,She'll literally charm you.,EPIC,elmira,null,elmira,0,0,null,null,1500,0.00,null,null,Arcane Arts Set,OUTFIT,RELEASED
291,Embarassed,Express yourself on the battlefield.,UNCOMMON,embarrassed,null,null,5,46,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
292,Embers,Freefall in style.,RARE,embers,null,null,0,0,null,Wegame,0,0.00,Refer Friends Challenges,null,null,CONTRAIL,RELEASED
293,Emoticons,Collage of Battle Royale emoticons,UNCOMMON,emoticons,emoticons,null,6,10,null,null,0,0.00,null,null,null,LOADINGSCREEN,RELEASED
294,Empire Axe,Build your empire.,RARE,empire-axe,null,null,0,0,null,null,800,0.00,null,null,null,HARVESTINGTOOL,RELEASED
295,End Zone,Deep in opposition territory.,EPIC,end-zone,null,end-zone,0,0,null,null,1500,0.00,null,Nation Football League Team Style,Fourth Down,OUTFIT,RELEASED
296,Enduring Cape,Battle-proven.,LEGENDARY,enduring-cape,null,null,0,0,Magnus,null,0,0.00,null,null,Norse Set,BACKBLING,RELEASED
297,Enforcer,Balance and order must be restored.,LEGENDARY,enforcer,null,enforcer,0,0,null,null,0,0.00,Road Trip Challenges,null,null,OUTFIT,RELEASED
298,Eon,Timeless design.,LEGENDARY,eon,null,eon,0,0,null,Xbox One S Bundle,0,0.00,null,null,Eon Set,OUTFIT,RELEASED
299,Eva,Extravehicular,EPIC,eva,null,null,3,46,null,null,0,0.00,null,null,Space Explorers Set,HARVESTINGTOOL,RELEASED
300,Evidence Bag,Forensic fashion.,EPIC,evidence-bag,null,null,0,0,Sleuth,null,0,0.00,null,null,Hardboiled Set,BACKBLING,RELEASED
301,Exclamation,Express yourself on the battlefield.,UNCOMMON,exclamation,null,null,2,33,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
302,Exhaust,Don't breathe in the fumes.,RARE,exhaust,null,null,6,19,null,null,0,0.00,null,null,null,CONTRAIL,RELEASED
303,F,Express yourself on the battlefield,UNCOMMON,f,null,null,7,94,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
304,Fable,The forest isn't safe... from her.,EPIC,fable,null,null,6,47,null,null,0,0.00,null,null,Red Riding Set,OUTFIT,RELEASED
305,Fabled Cape,Nothing lil' about it.,EPIC,fabled-cape,null,null,6,14,null,null,0,0.00,null,null,Red Riding Set,BACKBLING,RELEASED
306,Face Palm,The cringe is real.,UNCOMMON,face-palm,null,null,0,0,null,null,200,0.00,null,null,null,DANCE,RELEASED
307,Fairway Fun,We hit the links and invented some new rules for golf. They mostly involved driving around really fast,UNCOMMON,fairway-fun,fairway-fun,null,0,0,null,null,0,0.00,Road Trip Challenges,null,Road Trip Set,LOADINGSCREEN,RELEASED
308,Fake Door,Leave your mark.,UNCOMMON,fake-door,null,null,5,48,null,null,0,0.00,null,null,null,SPRAY,RELEASED
309,Fancy Basketball,From downtown!,EPIC,fancy-basketball,null,null,5,91,null,null,0,0.00,null,null,null,TOY,RELEASED
310,Fancy Beach Ball,Perfectly inflated.,EPIC,fancy-beach-ball,null,null,5,75,null,null,0,0.00,null,null,null,TOY,RELEASED
311,Fancy Burger,Extra Greasy,RARE,fancy-burger,null,null,7,76,null,null,0,0.00,null,null,Durrr Burger Set,TOY,RELEASED
312,Fancy Golf Ball,Sink the putt!,EPIC,fancy-gold-ball,null,null,5,59,null,null,0,0.00,null,null,null,TOY,RELEASED
313,Fancy Tomato,Saucy!,EPIC,fancy-tomato,null,null,6,76,null,null,0,0.00,null,null,null,TOY,RELEASED
314,Far Out Man,Out of sight.,EPIC,far-out-man,null,far-out-man,0,0,null,null,1500,0.00,null,null,Flower Power,OUTFIT,RELEASED
315,Fate,Prepare to meet your fate.,LEGENDARY,fate,fate,fate,0,0,null,null,2000,0.00,null,null,Overseer Set,OUTFIT,RELEASED
316,Fate,Showcase art for Fate,UNCOMMON,fate,fate,null,6,44,null,null,0,0.00,null,null,Overseer Set,LOADINGSCREEN,RELEASED
317,Fated Fame,Rise above your fate.,RARE,fated-frame,null,null,0,0,null,null,800,0.00,null,null,Overclocked Set,HARVESTINGTOOL,RELEASED
318,Feathered Flyer,Winged victory.,RARE,feathered-flyer,null,null,0,0,null,null,800,0.00,null,null,Nevermore Set,GLIDER,RELEASED
319,Festive,Press play and get in the spirit of the season.,RARE,festive,null,null,7,13,null,null,0,0.00,null,null,null,MUSIC,RELEASED
320,Festive Paper,Show your style.,UNCOMMON,festive-paper,null,null,7,11,null,null,0,0.00,null,null,null,WRAP,RELEASED
321,Fiber Optics,Fall at the speed of light.,RARE,fiber-optics,null,null,7,58,null,null,0,0.00,null,null,null,CONTRAIL,RELEASED
322,Field Surgeon,Scalpel!,EPIC,field-surgeon,null,field-surgeon,0,0,null,null,1500,0.00,null,null,Support Squadron,OUTFIT,RELEASED
323,Field Wraith,"Don't just scare crows, give them nightmares.",EPIC,field-wraith,null,null,0,0,null,null,1200,0.00,null,null,Straw Stuffed Set,GLIDER,RELEASED
324,Fiery,Express yourself on the battlefield.,UNCOMMON,fiery,null,null,0,0,null,null,0,0.00,Fortnitemares Challenges Part 1,null,null,EMOTICON,RELEASED
325,Fighter Kite,Outmaneuver the competition,UNCOMMON,fighter-kite,null,null,0,0,null,null,500,0.00,null,null,null,GLIDER,RELEASED
326,Filet Axe,A cut above the rest.,RARE,filet-axe,null,null,0,0,null,null,800,0.00,null,null,Sushi Set,HARVESTINGTOOL,RELEASED
327,Finesse Finisher,Represent your country in style!,RARE,finesse-finisher,finesse-finisher,finesse-finisher,0,0,null,null,1200,0.00,null,null,Goalbound Set,OUTFIT,RELEASED
328,Finger Guns,Character does shooting gun motion with his fingers.,UNCOMMON,finger-guns,null,null,0,0,null,null,200,0.00,null,null,null,DANCE,RELEASED
329,Finger Wag,"Not today, my friend.",UNCOMMON,finger-wag,null,null,0,0,null,null,200,0.00,null,null,null,DANCE,RELEASED
330,Forebearer,Wielded by countless generations.,RARE,forebearer,null,null,0,0,null,null,800,0.00,null,null,Norse Set,HARVESTINGTOOL,RELEASED
331,Fireflies,Lihgt your way.,RARE,fireflies,null,null,6,36,null,null,0,0.00,null,null,Red Riding Set,CONTRAIL,RELEASED
332,Fireworks Team Leader,"Life, liberty, and the bear suit of happiness.",EPIC,fireworks-team-leader,fireworks-team-leader,fireworks-team-leader,0,0,null,null,1500,0.00,null,null,Stars and Striped Set,OUTFIT,RELEASED
333,First Downer,10 yards to victory.,UNCOMMON,first-downer,null,null,0,0,null,null,500,0.00,null,null,Fourth Down Set,HARVESTINGTOOL,RELEASED
334,First Strike Specialist,Rare First Strike Specialist.,RARE,first-strike-specialist,first-strike-specialist,null,0,0,null,null,1200,0.00,null,null,null,OUTFIT,RELEASED
335,Fish Tank,Do not tap on the glass!,LEGENDARY,fish-tank,null,null,0,0,Leviathan,null,0,0.00,null,null,Space Explorers Set,BACKBLING,RELEASED
336,Flamenco,Clap it up.,EPIC,flamenco,null,null,6,95,null,null,0,0.00,null,null,null,DANCE,RELEASED
337,Flames,Freefall in style.,RARE,flames,null,null,3,84,null,null,0,0.00,null,null,null,CONTRAIL,RELEASED
338,Flaming Rage,Express yourself on the battlefield.,UNCOMMON,flaming-rage,null,null,3,80,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
339,Flapjackie,Loves pancakes almost as much as victory.,EPIC,flapjackie,null,flapjackie,0,0,null,null,1500,0.00,null,null,Animal Jackets,OUTFIT,RELEASED
340,Flapper,It's the bees knees!,RARE,flapper,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
341,Flappy,Flap happy.,RARE,flappy,null,null,0,0,null,Playstation Plus,0,0.00,null,null,null,GLIDER,RELEASED
342,Flappy Flyer,Keep it flappy.,RARE,flappy-flyer,null,null,0,0,null,null,800,0.00,null,null,Fowl Play Set,GLIDER,RELEASED
343,Flatliner,Not on my watch!,RARE,flatliner,null,null,0,0,null,null,800,0.00,null,null,Support Squadron,HARVESTINGTOOL,RELEASED
344,Flex,Express yourself on the battlefield.,UNCOMMON,flex,null,null,2,36,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
345,Flippin Incredible,Flip on 'em. Flex on em.,RARE,flippin-incredible,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
346,Flippin' Sexy,Flip out!,RARE,flippin-sexy,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
347,Floss,Express yourself on the battlefield.,RARE,floss,null,null,2,49,null,null,0,0.00,null,null,null,DANCE,RELEASED
348,Flying Carp,Dive into the sky.,RARE,flying-carp,null,null,0,0,null,null,800,0.00,null,null,null,GLIDER,RELEASED
349,Flying Fish,Keep it fresh.,UNCOMMON,flying-fish,null,null,0,0,null,null,500,0.00,null,null,Sushi Set,GLIDER,RELEASED
350,Flying Saucer,Make mine a Royale.,EPIC,flying-saucer,null,null,0,0,null,null,1200,0.00,null,null,Durr Burger Set,GLIDER,RELEASED
351,Flytrap,Deviously inescapable.,LEGENDARY,flytrap,flytrap,flytrap,0,0,null,null,2000,0.00,null,null,Flytrap Set,OUTFIT,RELEASED
352,Flytrap,Showcase art,UNCOMMON,flytrap,flytrap,null,5,60,null,null,0,0.00,null,null,Flytrap Set,LOADINGSCREEN,RELEASED
353,Forerunner,Amped and aerodynamic,RARE,forerunner,null,null,0,0,null,null,800,0.00,null,null,Apex Protocol Set,GLIDER,RELEASED
354,Fortnite Birthday,Express yourself on the battlefield.,UNCOMMON,fortnite-birthday,null,null,0,0,null,null,0,0.00,Fortnite 1st Birthday Challenges,null,null,EMOTICON,RELEASED
355,Fortune,Take charge of your fortune.,RARE,fortune,fortune,fortune,0,0,null,null,1200,0.00,null,null,Sharp Style Set,OUTFIT,RELEASED
356,Fossil Flyer,Prehistoric aerodynamics.,UNCOMMON,fossil-flyer,null,null,0,0,null,null,500,0.00,null,null,Dino Guard Set,GLIDER,RELEASED
357,Founder's Glider,Founder's exclusive.,COMMON,founders-glider,null,null,0,0,null,Save The World Founder's Pack,0,0.00,null,null,null,GLIDER,RELEASED
358,Founders Umbrella,Founder's exclusive!,COMMON,founders-umbrella,null,null,0,0,null,Save The World Founder's Pack,0,0.00,Victory Founders,null,null,GLIDER,RELEASED
359,Free Flow,Feel the flow,EPIC,free-flow,null,null,7,95,null,null,0,0.00,null,null,null,DANCE,RELEASED
360,Freestylin',Tear up the dance floor.,EPIC,freestylin,null,null,0,0,null,Twitch Prime,0,0.00,null,null,null,DANCE,RELEASED
361,Freezing Point,Ice cold.,LEGENDARY,freezing-point,null,null,0,0,Frostbite,Deep Freeze Bundle,0,0.00,null,null,Frostbite Set,BACKBLING,RELEASED
362,Fresh,Express yourself on the battlefield.,EPIC,fresh,null,null,0,0,null,null,800,0.00,null,null,null,DANCE,RELEASED
363,Frostbite,Brave the cold.,LEGENDARY,frostbite,null,frostbite,0,0,null,Deep Freeze Bundle,0,29.99,null,null,Frostbite Set,OUTFIT,RELEASED
364,Frostwing,Woken from an ageless slumber.,LEGENDARY,frostwing,null,null,0,0,null,null,1500,0.00,null,null,Harbinger Set,GLIDER,RELEASED
